icao,lon
FASC,29.1701
FASD,17.9693
FASK,28.1646
FASS,22.9993
FASZ,31.5886
FATZ,30.3293
FAUL,31.4165
FAUP,21.2636
FAUT,28.6734
FAVB,24.7288
FAVG,31.0584
FAVR,18.5448
FAVV,27.9608
FAWB,28.2242
FAWK,28.2225
FAYP,18.4983
FBJW,24.691
FBKE,25.1662
FBMN,23.4314
FBPM,27.4688
FBSK,25.9182
FBSN,26.1158
FBSP,27.8288
FCBB,15.253
FCOD,15.91
FCOO,15.9378
FCOU,16.0379
FCPD,12.6599
FCPP,11.8866
FDMS,31.3076
FDSK,31.7169
FEFF,18.5188
FEFT,15.7864
FGBT,9.8057
FGCO,9.3303
FGMY,11.0249
FGSL,8.7087
FHAW,-14.3927
FHSH,-5.6461
FIMP,57.6836
FIMR,63.3593
FKKC,9.3605
FKKD,9.7195
FKKL,14.2574
FKKM,10.7508
FKKN,13.5592
FKKR,13.3721
FKKU,10.3546
FKKV,10.1226
FKKY,11.5235
FKYS,11.5533
FLHN,25.8196
FLKE,27.8939
FLKK,28.4527
FLLC,28.3307
FLMF,31.9366
FLMG,23.1623
FLND,28.6639
FLSK,28.5156
FLSO,28.1499
FMCH,43.2719
FMCI,43.7665
FMCV,44.43
FMCZ,45.2818
FMEE,55.5189
FMEP,55.4225
FMMI,47.4788
FMMN,45.4508
FMMS,49.8158
FMMT,49.3923
FMMV,44.3176
FMNA,49.2917
FMNC,49.7738
FMND,49.6206
FMNH,50.3202
FMNL,47.7636
FMNM,46.3512
FMNN,48.3148
FMNQ,44.4825
FMNR,49.6891
FMNS,50.1747
FMNV,50.0028
FMNW,47.9939
FMSD,46.9561
FMSF,47.1117
FMSK,48.0217
FMSM,48.3583
FMSR,43.3748
FMST,43.7285
FNBC,14.247
FNBG,13.4037
FNBJ,13.4991
FNCA,12.1881
FNCT,13.4869
FNDU,20.8185
FNGI,15.6838
FNHU,15.7605
FNKU,16.9474
FNLU,13.2312
FNMA,16.3124
FNME,17.7198
FNMO,12.1468
FNNG,15.2877
FNPA,13.7655
FNSA,20.4319
FNSO,12.3718
FNSU,13.8475
FNUB,13.5767
FNUE,19.8977
FNUG,15.0278
FNXA,14.9653
FOGK,12.4413
FOGM,11.0567
FOGO,11.5814
FOGQ,13.6731
FOGR,10.2457
FOOB,11.4932
FOOG,8.7544
FOOH,9.2627
FOOK,12.8909
FOOL,9.4121
FOON,13.438
FPPR,7.4111
FPST,6.7122
FQBR,34.9076
FQCH,33.429
FQIN,35.4085
FQLC,35.2663
FQMA,32.5726
FQMD,39.5631
FQMP,40.3549
FQNC,40.7122
FQNP,39.2818
FQPB,40.5249
FQQL,36.8691
FQTT,33.6402
FQVL,35.3133
FSIA,55.5218
FSPP,55.6916
FTTC,20.8443
FTTD,16.0742
FTTJ,15.034
FTTY,19.1111
FVCZ,31.5786
FVFA,25.8369
FVJN,28.6229
FVKB,28.885
FVMT,32.1845
FVMV,30.8591
FVRG,31.0928
FVTL,29.8619
FVWN,27.021
FWCL,34.9723
FWDW,34.1319
FWKA,33.8933
FWKI,33.781
FWUU,34.0118
FXMM,27.5545
FYAR,14.9793
FYGF,18.1227
FYKM,24.1767
FYKT,18.1114
FYLZ,15.2429
FYML,17.9254
FYOA,15.9526
FYOG,16.4464
FYRU,19.7194
FYTF,14.3588
FYTM,17.7325
FYWB,14.6471
FYWE,17.079
FYWH,17.4709
FZAA,15.4446
FZAB,15.3275
FZBO,17.3817
FZCA,18.7856
FZEA,18.2887
FZFD,20.9753
FZFK,19.7713
FZGA,21.4969
FZIC,25.338
FZJH,27.5883
FZKA,30.2207
FZKJ,24.794
FZMA,28.8088
FZNA,29.238
FZOA,25.9154
FZQA,27.5308
FZQM,25.5057
FZRF,29.25
FZSA,25.2529
FZUA,22.4692
FZWA,23.569
GABS,-7.9499
GAGO,-0.0054
GAKD,-11.3993
GAMB,-4.0796
GATB,-3.0076
GBYD,-16.6522
GCFV,-13.8638
GCHI,-17.8871
GCLA,-17.7556
GCLP,-15.3866
GCRR,-13.6052
GCTS,-16.5725
GCXO,-16.3417
GEML,-2.9563
GFBO,-11.761
GFKE,-11.1741
GFLL,-13.1955
GFYE,-11.0454
GGOV,-15.6536
GLGE,-9.0642
GLMR,-10.7587
GLRB,-10.3623
GMAD,-9.412
GMAT,-11.1617
GMAZ,-5.8608
GMFB,-1.9831
GMFF,-4.978
GMFK,-4.3983
GMFM,-5.5151
GMFO,-1.926
GMMA,-11.6837
GMMD,-6.3159
GMME,-6.7515
GMMH,-15.932
GMMI,-9.6817
GMML,-13.2249
